strategy,heuristic,alpha,beta,avg_z,std_z,avg_n_stations,avg_cost,budget_util_pct
elite-3,cost,0.2,0.5,38895320.47999999,657145.6799999997,21.0,104766.0,99.4220640569395
elite-3,cost,0.2,1.0,38038820.864999995,514590.42499998957,20.5,104038.5,98.73167259786477
elite-3,cost,0.2,2.0,38759582.224999994,965562.9550000057,21.0,103820.0,98.52431791221827
elite-3,cost,0.5,0.5,40204002.85000001,1945867.400000006,19.5,104447.0,99.11933570581257
elite-3,cost,0.5,1.0,40046619.17,568110.2100000046,20.5,103180.0,97.91696322657177
elite-3,cost,0.5,2.0,39830655.91499999,168245.4549999945,21.0,104272.5,98.95373665480427
elite-3,cost,1.0,0.5,39197396.12,634017.5,19.5,105238.5,99.87046263345195
elite-3,cost,1.0,1.0,37339214.36999999,307051.97000000253,21.0,104729.5,99.38742586002373
elite-3,cost,1.0,2.0,37469045.59999999,282388.00000000745,21.5,104324.0,99.00260972716488
elite-3,demand,0.2,0.5,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
elite-3,demand,0.2,1.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
elite-3,demand,0.2,2.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
elite-3,demand,0.5,0.5,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
elite-3,demand,0.5,1.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
elite-3,demand,0.5,2.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
elite-3,demand,1.0,0.5,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
elite-3,demand,1.0,1.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
elite-3,demand,1.0,2.0,36559265.99999999,0.0,19.0,104248.0,98.93048635824437
elite-3,weighted_demand,0.2,0.5,39459077.900000006,1807670.7699999996,20.5,104686.5,99.34661921708185
elite-3,weighted_demand,0.2,1.0,37863075.080000006,734962.640000008,20.0,104699.0,99.35848161328589
elite-3,weighted_demand,0.2,2.0,37360645.08999999,564.9499999918044,20.0,104763.5,99.4196915776987
elite-3,weighted_demand,0.5,0.5,39419217.125,1469235.7150000073,20.0,104181.5,98.8673784104389
elite-3,weighted_demand,0.5,1.0,38430350.989999995,942565.0000000037,20.5,104668.5,99.32953736654804
elite-3,weighted_demand,0.5,2.0,36903237.639999986,152887.62999999896,20.5,104007.0,98.7017793594306
elite-3,weighted_demand,1.0,0.5,38574937.400000006,1843980.3500000164,20.0,105199.5,99.83345195729537
elite-3,weighted_demand,1.0,1.0,37843072.99,48643.18000000715,20.5,104636.5,99.29916963226572
elite-3,weighted_demand,1.0,2.0,37049062.2,169419.5600000061,20.0,104780.5,99.43582443653618
elite-3,coverage_efficiency,0.2,0.5,38785024.775000006,678637.4150000066,19.0,104701.5,99.3608540925267
elite-3,coverage_efficiency,0.2,1.0,39280986.13000001,498377.51000000164,19.5,104415.0,99.08896797153025
elite-3,coverage_efficiency,0.2,2.0,39863239.61500001,67465.68499999866,20.0,104504.5,99.17390272835112
elite-3,coverage_efficiency,0.5,0.5,37706995.03499999,816646.6750000119,19.5,104814.0,99.46761565836299
elite-3,coverage_efficiency,0.5,1.0,39930705.30000001,0.0,20.0,104586.0,99.25124555160143
elite-3,coverage_efficiency,0.5,2.0,39930705.30000001,0.0,20.0,104586.0,99.25124555160143
elite-3,coverage_efficiency,1.0,0.5,39103201.645,848773.6450000033,19.5,103743.0,98.45124555160142
elite-3,coverage_efficiency,1.0,1.0,39136937.37000001,515225.6499999985,19.5,105367.5,99.99288256227759
elite-3,coverage_efficiency,1.0,2.0,39863239.61500001,67465.68499999866,20.0,104504.5,99.17390272835112
elite-3,gravity,0.2,0.5,37142092.145,847379.5250000134,20.0,105302.0,99.93072360616844
elite-3,gravity,0.2,1.0,36453108.830000006,6819.869999997318,20.0,104338.0,99.0158956109134
elite-3,gravity,0.2,2.0,36294262.995,87829.8350000009,20.0,104820.0,99.47330960854093
elite-3,gravity,0.5,0.5,37713854.84,19124.469999998808,19.5,104771.0,99.42680901542111
elite-3,gravity,0.5,1.0,36721573.08,199522.1500000134,19.5,104974.5,99.61992882562278
elite-3,gravity,0.5,2.0,36277133.6,70700.44000000507,20.0,104848.5,99.50035587188611
elite-3,gravity,1.0,0.5,37999735.845,718679.554999996,20.5,105053.0,99.6944246737841
elite-3,gravity,1.0,1.0,37279782.684999995,295528.6049999967,20.0,104641.5,99.30391459074733
elite-3,gravity,1.0,2.0,36054781.535000004,293052.5050000027,20.0,105297.5,99.926453143535
